method,accuracy_mean,accuracy_std,delta_vs_ra,wins,losses,draws,p_value,effect_size,elapsed_sec
ra,0.4274691358024691,0.13318862911969348,0.0,0,0,9,,,36.14466173853725
fixed/w=1.0,0.4274691358024691,0.13318862911969348,0.0,0,0,9,,,53.90672032907605
ea,0.4236111111111111,0.13790886880719097,-0.0038580246913580297,4,5,0,0.65234375,-0.14482490843459403,22.47294582799077
adaptive/best,0.4212962962962963,0.12870661800590721,-0.006172839506172845,2,5,2,0.23588521058805278,-0.37114080034091806,58.6070894068107
fixed/w=0.5,0.4151234567901235,0.13104029478107113,-0.012345679012345685,4,5,0,0.30078125,-0.409123207437517,54.18751163687557
noalign,0.38155864197530864,0.11362504961057437,-0.04591049382716048,2,7,0,0.07421875,-0.646763010062843,17.354240397922695
